W XII wiekù ùżiwóno techniczi w Chinach <extra_id_0> òknów, skrzinków i jinszëch przedmiotów.	<extra_id_0> do òzdobianiô lampionów, <extra_id_1>
Film Skłóceni z życiem był òstatnim w jej żëcowô drodze, <extra_id_0> smierc w 1962 r.	<extra_id_0> chtërã przerwała nieòczekiwóna <extra_id_1>
W czasach przedhistorycznëch wëstãpòwôł na <extra_id_0> na całim òbszarze Aùstralie, a też Nowi Gwinei.	<extra_id_0> Tasmanie a też <extra_id_1>
Dlô pòrównaniégò wôrt wspòmnąc, że strzédnô miesãcznô wëpłata w latach 1955 i 1956 wënôsza pòsobicą 1008 i 1118 zł Słôwk Fòrmella, <extra_id_0> Jana.	<extra_id_0> Zéńdzenia ù Méstra <extra_id_1>
Dzys szabla nie je dlô célów militarnëch <extra_id_0> i paradé, ùżëwanô je do nôwiãkszich swiãtôw państwòwëch.	<extra_id_0> le do òezdobé <extra_id_1>
Aborigeni brëkuja barni do jagowania bumerang <extra_id_0> dmùsznego yirdaki (	<extra_id_0> i mùzycznego jinstrumentu <extra_id_1>
Brzôd je <extra_id_0> farwë czôrny, czerwòny abò biôłi.	<extra_id_0> okrągli jak jagòda, <extra_id_1>
Brunô hiena (Hyaena brunnea) – to <extra_id_0> suska z rodzëznë hienowatëch (Hyaenidae).	<extra_id_0> je ôrt miãsojôdnégò <extra_id_1>
Tu <extra_id_0> Kòbëlnica.	<extra_id_0> je sedzba Gminë <extra_id_1>
Parłãczëją <extra_id_0> pôrë.	<extra_id_0> sã w <extra_id_1>
Jinstrument ten <extra_id_0> w dół, tzn.	<extra_id_0> transponëje ò oktawã <extra_id_1>
Pierszim trenérą Sztefana <extra_id_0> òjc.	<extra_id_0> Hùlë béł jegò <extra_id_1>
W <extra_id_0> òdrze są òbrzészkòwé.	<extra_id_0> Pòlsce szczépienia procem <extra_id_1>
Temù tej <extra_id_0> rôz chùtczi, rôz pózni, ale wiedno dérëje 40 dni.	<extra_id_0> Wiôldzi Pòst przëpôdô <extra_id_1>
Na <extra_id_0> na póczątkù XIX w.	<extra_id_0> swiece pòjawiła sã <extra_id_1>
Ji <extra_id_0> uwôżaniém.	<extra_id_0> rodzëzna ceszëła sã <extra_id_1>
Drobnokwiatowi tuj (Erysimum <extra_id_0> to je ôrt roscënë z rodzëznë kapùstowatëch Brassicaceae.	<extra_id_0> cheiranthoides L.) – <extra_id_1>
Są <extra_id_0> òchroną.	<extra_id_0> pòd <extra_id_1>
Je to 956 rok naszi erë (pò narodzenim Christusa), 956. rok pierszégò tësąclecégò, 56. <extra_id_0> 6. rok 6-égò dzesãcolecô X stolatégò.	<extra_id_0> rok X stolatégò, <extra_id_1>
Ùcził sã w Tonbridge, zaczã téż sztudia na Ùniwersytece Granadë (Szpańskô), le chùtkò <extra_id_0> pòswiãcëc sã swòjémù nôwikszémù hobbi – lecbie.	<extra_id_0> je przerwôł, bë <extra_id_1>
Pòéta miôł bëté w ji domôcym majątkù w Tuhanowiczach i <extra_id_0> miłotą.	<extra_id_0> ùlubił jã dejowną <extra_id_1>
Gnieżdżą sã <extra_id_0> wyspach,jezorach i rzekach.	<extra_id_0> w kòloniach na <extra_id_1>
Tikô sã to lëdzy, jaczi pòsługiwają sã regionalnyma abò <extra_id_0> mòże to bëc np.	<extra_id_0> miészëznowima jãzëkama, a <extra_id_1>
Na jachtã jidze <extra_id_0> bò dzéń spãndzywa zagrzebóny, zatacony w zôchòwie.	<extra_id_0> leno pò cemkù, <extra_id_1>
Zmërkòwóno, że ni mòżna òbliczëwac menzurë jakno wiedno tegò samégò dzélu długòscë piszczówków, tj. jakno wiedno tegò samégò <extra_id_0> piszczówkach małich i wiôldzich.	<extra_id_0> procentu długòscë w <extra_id_1>
We wczesnëch dokùmentach wëstãpòwała téż fòrma <extra_id_0> to miemiecczé tłumaczenié dlô Teofil).	<extra_id_0> Wolfgang Gottlieb (Gottlieb <extra_id_1>
Kòłodzéj - rzemiãsnik, chteren zajimół sã zwiksza <extra_id_0> do wòzów.	<extra_id_0> robieniém drzewianëch kòłów <extra_id_1>
To béł <extra_id_0> honoris causa Warszawsczégò Ùniwersytetu.	<extra_id_0> m. jin. doctor <extra_id_1>
Z niegò wòda sã <extra_id_0> òdpłiwô.	<extra_id_0> ropi, ale nie <extra_id_1>
Do kùńca <extra_id_0> dniów.	<extra_id_0> roku je 26 <extra_id_1>
Rhea) – w mitologi <extra_id_0> tytanid, bògini płodnosce.	<extra_id_0> grecczi jednô z <extra_id_1>
Starogard <extra_id_0> miem.	<extra_id_0> Gdański, <extra_id_1>
W skłôd Czôrnogórë <extra_id_0> òstrowów.	<extra_id_0> wchôdô 14 mòrsczich <extra_id_1>
Lotarinigô przënôléga tej do Niemców i Schuman òdebrôł niemniecczé sztôłcenié - skùńcził prawò na <extra_id_0> Berlinie.	<extra_id_0> Ùniwersytece Humboldta w <extra_id_1>
Ten Lëst szlachùje za Lësta do Galatczików, <extra_id_0> pòd diktandã.	<extra_id_0> a béł napisóny <extra_id_1>
Za dnia nié dô <extra_id_0> leno nocą.	<extra_id_0> sã gò dozdrzec <extra_id_1>
Domôcô slëwa (Prunus domestica L.) - to je roscëna - miészańc - wierã z dwóch <extra_id_0> rodzëznë różowatëch (Rosaceae Juss.	<extra_id_0> ôrtów sléwów z <extra_id_1>
Stilo je <extra_id_0> Ùbrzegù.	<extra_id_0> nôpiękniszą blizą pòlsczégò <extra_id_1>
Zakòdół, <extra_id_0> swòją godność.	<extra_id_0> ze ùczeń pòsôdô <extra_id_1>
Piotra i Pawła; <extra_id_0> a wic ji topògrafiã, np.	<extra_id_0> 2) òpisëjącé tóń, <extra_id_1>
Òb jeséń <extra_id_0> zortë.	<extra_id_0> sadzy sã lëscaté <extra_id_1>
Je to 1427 rok naszi erë (pò narodzenim Christusa), 427. rok drëdżégò tësąclecô, 27. rok XV stolatégò, 7. rok <extra_id_0> stolatégò.	<extra_id_0> 3-égò dzesãcolecô XV <extra_id_1>
Dôlëzna strądu Azëji <extra_id_0> tës. km ë je miészô blós òd nej w Nordowi Americe.	<extra_id_0> razã je 70,6 <extra_id_1>
KÔŁP SNIEGULC wydaje <extra_id_0> zachrapiałi.	<extra_id_0> zwęki ksykające i <extra_id_1>
Mak (Papaver L.) – <extra_id_0> roscënow z rodzëznë makòwatëch (Papaveraceae).	<extra_id_0> to je szlach <extra_id_1>
Karból <extra_id_0> je chemiczny związk.	<extra_id_0> - (C6H5OH) to <extra_id_1>
Òdléwk ti <extra_id_0> òd XIII stalata.	<extra_id_0> mònétë zaczął sã <extra_id_1>
Tak <extra_id_0> jakno filter dolnoprzepùstowi, dze zdrzódłã je wstãga, a filtrã kòrpùs piszczówczi.	<extra_id_0> wëwòłóny tłumienié òddzałiwô <extra_id_1>
Kasper (Crex crex) – <extra_id_0> rodzëznë kasprowatëch.	<extra_id_0> strzédny ptôch z <extra_id_1>
Dzãkùje sã bez to Bògù za òtrzimóné łasczi, <extra_id_0> plónë.	<extra_id_0> zdrowié i zebróné <extra_id_1>
Pòmòcny jãzëk - to je jãzëk, w <extra_id_0> składac wniosczi (w mòwie abò na pismie) w gminie.	<extra_id_0> chtërnym lëdze mògą <extra_id_1>
Tischner gôdô,że marksizm je w swòji strukturze <extra_id_0> mëślenié ò ròbòcé téż lechi.	<extra_id_0> skòstniałi i jégó <extra_id_1>
To <extra_id_0> gard.	<extra_id_0> béł wôżny hanzeatycczi <extra_id_1>
Je to 970 rok <extra_id_0> narodzenim Christusa), 970. rok pierszégò tësąclecégò, 70. rok X stolatégò, 10. rok 7-égò dzesãcolecô X stolatégò.	<extra_id_0> naszi erë (pò <extra_id_1>
Rozrôstała <extra_id_0> fùndusze na prowadzenié szkòłë.	<extra_id_0> sã wspólnota, zbierającô <extra_id_1>
Władisłôw Kònefka béł przëczińcą <extra_id_0> sëtmëklasowi szkòłë spòdleczny w Starzënië.	<extra_id_0> i òrganizatorã bùdowë <extra_id_1>
Ùrodziła sã <extra_id_0> pòd zaborã rusczim.	<extra_id_0> w Kongresowi Warszawie <extra_id_1>
Kònduktë są to kanałë, jaczima left <extra_id_0> elemeńtama sistemù zasylaniégò, jaż do wiatrownic, abò jinszych ùrządzeniów wëmagającëch pneùmaticzégò napãdu.	<extra_id_0> je przekaziwóny pòmiédzë <extra_id_1>
Rafała Kalinowsczégò je <extra_id_0> "	<extra_id_0> tôblëca z tekstã <extra_id_1>
Do kùńca <extra_id_0> dniów.	<extra_id_0> roku je 81 <extra_id_1>
Rózgòwnicë - to są <extra_id_0> sami se.	<extra_id_0> lëdze, chtërny biją <extra_id_1>
Pò rokù <extra_id_0> i są gòtowi do gòdów.	<extra_id_0> stają sã dozdrzelałi <extra_id_1>
Je to jedinô noc w rokù,w chtërny młodzëzna bez żódny <extra_id_0> starszim.	<extra_id_0> konsekwencji mòże psocëc <extra_id_1>
Република Македонија) – państwò <extra_id_0> na Bałkańsczim Półòstrowie.	<extra_id_0> w pôłniowi Eùropie, <extra_id_1>
Nasebnô piérzô je noszonô prosto <extra_id_0> ruchnama.	<extra_id_0> na cele pòd <extra_id_1>
Òna mô wiele piãkny <extra_id_0> rãczki.	<extra_id_0> fòrmé bùdowë, różné <extra_id_1>
Kùlturowô pòzwa <extra_id_0> pòzwów, chtërne òpisëją produktë kùlturë człowieka (np.	<extra_id_0> – tikô sã <extra_id_1>
W <extra_id_0> to miemieckô greńcznô wies.	<extra_id_0> latach 1920-1945 bëła <extra_id_1>
Definicja ta dôwô cësk na psychòlogiczny pòzdrzatk w przëswòjiwanim kùlturë – wôżné tuwò są spòsobë ùczeniô sã, <extra_id_0> przëjimaniô normów òbrzésznëch w gwësny wespòlëznie.	<extra_id_0> fòrmòwaniô kùlturowëch nônãtów, <extra_id_1>
Skórcz <extra_id_0> pòl.	<extra_id_0> 1925, Skórcz 1928; <extra_id_1>
To <extra_id_0> jedzeniô.	<extra_id_0> je rëba do <extra_id_1>
Założenié agroturisticznégò gòspòdarstwa je dosc prostą <extra_id_0> mòże dwigac wzątk môlowëch lëdzy.	<extra_id_0> sprawą i to <extra_id_1>
Òkcytańsczi czãstô biwô zwóny prowansalsczim jãzëkã, chò <extra_id_0> blos dzélã òkcytańsczégò, leno mają nômòcnészi lëteracczi zwëk.	<extra_id_0> dialektë prowansalsczé są <extra_id_1>
Chòc <extra_id_0> fòrmã personowé gôdczi z istotą bòską, to w wiele religjiach ùształtowôł sã pewien kanón mòdlëtw, chtërnëch spisënk je dokładné òpisónô i przekazywónô w taczé fòrmie wëznôwcóm.	<extra_id_0> mòdlëtwa mòże przëjmòwac <extra_id_1>
Czãsto <extra_id_0> labializacëjô, mazurzenié ë jabłonkòwónié.	<extra_id_0> równak wëstãpiwô m.jin. <extra_id_1>
Òna <extra_id_0> Mòrza.	<extra_id_0> wpłiwô do Nordowégò <extra_id_1>
Lodofôłt abò lodówc - to je masa lodu, chtërna pòmału płënie, a je z <extra_id_0> sniegù.	<extra_id_0> przesztôłceniô pòsôdów wiecznégò <extra_id_1>
Zwëczajny <extra_id_0> - to je môłi ptôch z rodzëznë łëzgôczów.	<extra_id_0> klãskôcz (Coccothraustes coccothraustes) <extra_id_1>
Pòrénkòwô Pòmòrskô <extra_id_0> a wic „Môłé Pòmòrskô”.	<extra_id_0> nazéwô sã Pommerellen, <extra_id_1>
Jegò <extra_id_0> m. jin. rozwij kaszëbiznë.	<extra_id_0> spòdlowi cél to <extra_id_1>
Kòżdi <extra_id_0> z sąsôdã pòwrozã z żëwëch tkanków i tim spòsobã wzmòcniô sztrukturã.	<extra_id_0> pòlip pòłączony je <extra_id_1>
Konqueror òbsługiwô téż plug-insë <extra_id_0> Javã.	<extra_id_0> z Netscape'a ë <extra_id_1>
Òn <extra_id_0> SiO2.	<extra_id_0> mô chemiczny wzór <extra_id_1>
Tekstowé przezérniczi rozmieją przedstôwiac <extra_id_0> prosté tekstë ë tekstowé fòrmôtë jakno HTML abò XML.	<extra_id_0> ë interpretowac blós <extra_id_1>
Je to 1000 rok naszi erë (pò narodzenim Christusa), 1000. rok pierszégò tësąclecégò, 100. rok <extra_id_0> rok 10-égò dzesãcolecô X stolatégò.	<extra_id_0> X stolatégò, 10 <extra_id_1>
Jegò białką bëła <extra_id_0> wiôlgòpòlsczégò ksąża.	<extra_id_0> Eufrozyna - sostra <extra_id_1>
Jimię znané w Pòlsce ju w strzédnëch wiekach w fòrmach: Kachna, <extra_id_0> Katerzena, Katerzyna, Katuszka.	<extra_id_0> Kata, Katarzena, Katarzyna, <extra_id_1>
Do przesélaniô pòdôwków midzë kòmpùtrama je <extra_id_0> technologiô.	<extra_id_0> to dzysô nôlepszô <extra_id_1>
Je <extra_id_0> naszi erë (pò narodzenim Christusa), 725. rok drëdżégò tësąclecô, 25. rok XVIII stolatégò, 5. rok 3-égò dzesãcolecô XVIII stolatégò.	<extra_id_0> to 1725 rok <extra_id_1>
Dowiérny człowiek – w demokratnych jinstitucjach to je człowiek, chtëren mô òglowé ùwôżanié i dozérô rzetelnégò <extra_id_0> abò welacjów.	<extra_id_0> òdbécô zgromadzeniów, zéńdzeniow <extra_id_1>
Zajimné są téż <extra_id_0> ps.	<extra_id_0> jegò felietónë (pòd <extra_id_1>
Pòjôwiają sã òne <extra_id_0> jedzenié i bezpieczny plac na spanié.	<extra_id_0> tam,gdze je wiele <extra_id_1>
Join The Army, <extra_id_0> sã westrzód 100 nôlepszich karnów cządnika Billboard.	<extra_id_0> dzãka niemù nalôzle <extra_id_1>
Malinczi roscënë: parpac, <extra_id_0> bòrówka, zwóna, pòtrôwnica, grzëbë.	<extra_id_0> wrzos, mech, jagòda, <extra_id_1>
Strzeżëta <extra_id_0> ti spôdkòwiznë, chtërné znaczą ò Waji juwernoce”).	<extra_id_0> tëch wôrtnotów i <extra_id_1>
Swiãtopôłk <extra_id_0> chłopsczégò ôrtu.	<extra_id_0> - kaszëbszczé miono <extra_id_1>
Jegò <extra_id_0> przëprawą.	<extra_id_0> sziszkòjagòdë są <extra_id_1>
Pò <extra_id_0> zamklë ùniwersytet.	<extra_id_0> lëstopadnikòwim pòwstanim Rusczi <extra_id_1>
XVIII stalata béł ùsadzony <extra_id_0> tegò jãzëka.	<extra_id_0> słowôrz i gramatika <extra_id_1>
Bëła to pneumaticznô maszina, jaczi miała za zadanié ùrównac wiôlgą <extra_id_0> a òsoblëwie przë załączonëch mechanicznëch pòłączeniach klawiaturów.	<extra_id_0> òpórnosc trakturë grë, <extra_id_1>
Tam w <extra_id_0> òn béł pòlitikôrzã, a pòmôgôł m. jin.	<extra_id_0> Portage County Wisconsin <extra_id_1>
Sniégòwi kòzeł (Oreamnos americanus) - to <extra_id_0> rodzëznë wòłowatëch (Bovidae).	<extra_id_0> je susk z <extra_id_1>
W latach 1637 - <extra_id_0> pòlsczé przédnictwò.	<extra_id_0> 1657 tu bëło <extra_id_1>
Je to 1434 rok naszi erë (pò narodzenim Christusa), 434. rok drëdżégò tësąclecô, 34. rok XV stolatégò, 4. rok <extra_id_0> stolatégò.	<extra_id_0> 4-égò dzesãcolecô XV <extra_id_1>
Pierszi tekst "W lagrze" ùkôzôł <extra_id_0> nr 12 z 1979 i 1 z 1980 rokù.	<extra_id_0> sã w Pòmeranii, <extra_id_1>
Rëbôk jidze w <extra_id_0> broduza.	<extra_id_0> mòrze, żebë wëbrodzëc <extra_id_1>
Dzysdniowò <extra_id_0> 50 krôjów.	<extra_id_0> są skłôdają z <extra_id_1>
W lëpińcu òstôł wikarim <extra_id_0> kòl Prùszkòwa.	<extra_id_0> parafii w Żbikòwie <extra_id_1>
Ta <extra_id_0> kwiatë.	<extra_id_0> roscëna mô rozdzelnopëłcowé <extra_id_1>
Sarka w <extra_id_0> délową òchróną.	<extra_id_0> Pòlsce je pòd <extra_id_1>
Lëstë <extra_id_0> kòlą.	<extra_id_0> ti roscënë <extra_id_1>
Frantówka <extra_id_0> aktach”.	<extra_id_0> w trzech <extra_id_1>
Je to 1908 rok naszi erë (pò narodzenim Christusa), 908. rok drëdżégò tësąclecô, 8. <extra_id_0> 8. rok 1-égò dzesãcolecô XX stolatégò.	<extra_id_0> rok XX stolatégò, <extra_id_1>
Trulôcze <extra_id_0> òchrónią.	<extra_id_0> są òbjimniãti ùrzãdową <extra_id_1>
Kòlbrzéskô <extra_id_0> òbezdrzeniô.	<extra_id_0> bliza je wôrt <extra_id_1>
Mieszkô w ògardach <extra_id_0> w lëdzach.	<extra_id_0> i sadach, dzejô <extra_id_1>
Gatënk G. rugosa <extra_id_0> Hawajach.	<extra_id_0> òstôł introdukowóné na <extra_id_1>
Béł <extra_id_0> rësznotë.	<extra_id_0> aktiwnym procëmnikã hitlerowsczi <extra_id_1>
Józef <extra_id_0> (ùr.	<extra_id_0> Chełmòwsczi <extra_id_1>
Grëpa <extra_id_0> wzmòcnieniô zwãkù je pùdło rezonansowé bez pòtrzebë ùżiwaniô dodôtkòwich wzmacniaczów.	<extra_id_0> gitarów, jaczich zdrzódłã <extra_id_1>
Kòminôrz <extra_id_0> piécczi doma.	<extra_id_0> mòże lëdzóm pùcowac <extra_id_1>
Finałã zôs - ë niespòdzajnym kùńcã - ny „miełotë” bëło rôczenié Cénôwë na wiôldżi Zjôzd Słôwiańsczi <extra_id_0> 1867 r.), sparłãczony z Etnografnym Pòkôzkã, na chtërny „bùdzëcél” pòsłôł swòje materiałë.	<extra_id_0> w Mòskwie (môj-czerwińc <extra_id_1>
Òna chòdza do szkòłë w Łebińsczi Hëce, <extra_id_0> pedagògiczny kadrë rozmia gadac pò kaszëbskù.	<extra_id_0> w jaczi pòłowa <extra_id_1>
Lewijôk (Antirrhinum <extra_id_0> to je roscëna z rodzëznë przëdróżnikòwatëch (Plantaginaceae).	<extra_id_0> majus L.) - <extra_id_1>
Pierszima stójnyma eùropejsczima òskòlańcama bëlë Hòlandrë, chtërni <extra_id_0> òrganizowelë w òbrëmienim Manhatanu swòjiznowé zamòrsczi òbszôr.	<extra_id_0> òd 1613 rokù <extra_id_1>
To je jinstitucją kùlturë, jakô <extra_id_0> rokù.	<extra_id_0> pòwsta w 1972 <extra_id_1>
Jak <extra_id_0> ks.	<extra_id_0> napisôł <extra_id_1>
Ji <extra_id_0> do robieniô zupë.	<extra_id_0> zôrna są np. <extra_id_1>
Mòwny òbrôz <extra_id_0> na stôrodôwné mòdłò - w przëblëżenim - jakno tzw.	<extra_id_0> „nôtërë”, móże pòkazac <extra_id_1>
Zmianë pògòdë wpłiwają na to, <extra_id_0> czëje.	<extra_id_0> jak człowiek sã <extra_id_1>
Sëszony <extra_id_0> procëm biegùnce, antisepticzno, procëm gòrączce.	<extra_id_0> brzôd dzeja téż <extra_id_1>
Mëmka roda <extra_id_0> dlô nich drãgô.	<extra_id_0> czasã téż bëwô <extra_id_1>
Pò przińdzenim nazôd do Cecylii, Walerión nalôzł ją <extra_id_0> trzimôł dwa wińce z różów i lëlijów.	<extra_id_0> kòl janioła, chtëren <extra_id_1>
Prezydent mô prawò òbsôdzac ë <extra_id_0> a téż nôleżników rządu, rozrzeszac Zgromadã Depùtowónëch, òbsôdzac sãdzów i nôleżników Czesczégò Nôrodnégò Bankù (cz. Česká národní banka).	<extra_id_0> copac przédnika ministrów <extra_id_1>
Wikszi cząd miemiecczich <extra_id_0> za Òdrã, temù zalëdzenié Przédnich Pòmrów ùrosło dwùkrotno Buchholz, W. (red.), Pommern.	<extra_id_0> mieszkańców òstôł wëwieziony <extra_id_1>
Do <extra_id_0> razã z swòima szpańszczéma pônoma.	<extra_id_0> Angli òne doszłë <extra_id_1>
Je to 883 rok naszi erë (pò narodzenim Christusa), 883. rok pierszégò tësąclecégò, 83. <extra_id_0> 3. rok 9-égò dzesãcolecô IX stalatégò.	<extra_id_0> rok IX stalatégò, <extra_id_1>
Kanadijków <extra_id_0> w Kanadze.	<extra_id_0> je wiele m.jin. <extra_id_1>
Je <extra_id_0> wiôlgòscë państwã swiata.	<extra_id_0> piątim co do <extra_id_1>
Nôstôrszé wòjewództwa pòwstôwałë ù przełómaniégò <extra_id_0> stolata.	<extra_id_0> XIV i XV <extra_id_1>
Òd 1926 rokù nôleżôł do pòkrocznëch òrganizacjôw spòlëznë jaczié rëchtowałë <extra_id_0> nôrodné.	<extra_id_0> manifestacje zespòłowé i <extra_id_1>
Òne <extra_id_0> òb zëmã lëdze mògą jim dawac szpiek.	<extra_id_0> jedzã òwadë, a <extra_id_1>
Òna wëpłiwô z <extra_id_0> Jezora.	<extra_id_0> mòcno zaczapónégò Tëchómsczégò <extra_id_1>
Piórkòwnik - <extra_id_0> do trzimaniô w nim np.	<extra_id_0> to bëło pùdełkò <extra_id_1>
Czëdes bëłë <extra_id_0> piłë.	<extra_id_0> tu lasë i <extra_id_1>
Narôstającé napiãcé ë greńcowi biôtczi midze òba krôjama <extra_id_0> kòrejańsczi wòjnë.	<extra_id_0> doprowôdzëłë do domôcy <extra_id_1>
Wiele pipów nie blus przëdatnyma <extra_id_0> mają artistycznô wôrtnota.	<extra_id_0> statkã, ale téż <extra_id_1>
Stón Nowi Jork leżi pòmidzë taczima stanama <extra_id_0> New Jersey i Pennsylvania.	<extra_id_0> jak: Vermount, Connecticut, <extra_id_1>
Trójmiescé, w chtërnym mieszkô wicy jak 750 000 <extra_id_0> rozwity je jindustrëjô, brëkùje baro wiele wòdë.	<extra_id_0> lëdzy i mòcno <extra_id_1>
Gąsewnica (Orthilia) – to <extra_id_0> z rodzëznë wrzosowatëch (Ericaceae Juss.).	<extra_id_0> je szlach roscënów <extra_id_1>
Trulôcz <extra_id_0> lubi jesc pokarm zwierzãcy, jak i roslënny, przë czim roslënë dominują.	<extra_id_0> je ptôchem, chërny <extra_id_1>
Òn <extra_id_0> karna rodzëznë jãzëków germańsczich.	<extra_id_0> je z zôchòdnégò <extra_id_1>
Stôwkòwô swòrka (Lymnaea stagnalis) - to je ôrt <extra_id_0> swòrkòwatëch (Lymnaeidae).	<extra_id_0> smôrzcza z rodzëznë <extra_id_1>
Zebrało sã w nim wiele lëdzy rësznych w kaszëbsczi rësznotë, a sparłãczonëch z rozmajitima pòliticznyma żochama w midzëwòjnowym <extra_id_0> II swiatowi wòjnie.	<extra_id_0> 20-latim i pò <extra_id_1>
Òn <extra_id_0> sëna.	<extra_id_0> nie dożdôł sã <extra_id_1>
Wojewódzka Biblioteka <extra_id_0> Ośrodek Informacji, Gdańsk 1992.	<extra_id_0> Publiczna : Biblioteczny <extra_id_1>
Czedë <extra_id_0> dzeckã czãsto chòrówôł, miôł słabé serce.	<extra_id_0> òn béł môłim <extra_id_1>
Òna <extra_id_0> nadzemny.	<extra_id_0> je <extra_id_1>
W zelnikù òd 22- <extra_id_0> i òd 25- 30˚C na pôłnim.	<extra_id_0> 24˚C na nordze <extra_id_1>
Wòdny kòblunk (Nymphoides peltata) – to ôrt roscënë <extra_id_0> (Menyanthaceae).	<extra_id_0> z rodzëznë bòbkòwatëch <extra_id_1>
Matematika <extra_id_0> wëewoluòwa z mierzeniô, rechòwaniô ë analizë geòmetricznëch figùrów.	<extra_id_0> je ùczbą jakô <extra_id_1>
Tuwò je Zespół Szkòłów nr 1 i Spòdlecznô Szkòła miona Wincãta <extra_id_0> dzece ùczą sã kaszëbsczégò jãzëka.	<extra_id_0> Rogali, a ni <extra_id_1>
Na niã skłôdô sã: himn, psalmòdiô, krótczi biblijny <extra_id_0> òracëjô.	<extra_id_0> czëtanié, werset i <extra_id_1>
Nôprzód ten kapelusz <extra_id_0> sã rozszerzô i ùrôbiô we westrzódkù zagłãbienié,knąpkòwi, a pòtemù ledłowati.	<extra_id_0> je wëbrzëszóny, pòtemù <extra_id_1>
Antón Ôbram <extra_id_0> (	<extra_id_0> (téż: Tóna Ôbram, <extra_id_1>
Dwiérze - to je rëszny element òbsadzony w bezrëszny ramie bënë dwiérzowy òdemkłosce bùdinkù, nima mòże wlezc bënë <extra_id_0> wëlezc.	<extra_id_0> i przez nie <extra_id_1>
August II Mocny – elektor zaksczi òd <extra_id_0> latach 1697 – 1704 i òd 1709 do 1733 rokù.	<extra_id_0> 1694, król w <extra_id_1>
Niechtërné z <extra_id_0> dali na zapôd.	<extra_id_0> nich lecą jesz <extra_id_1>
Jãzëk szląsczi òstôł téż zaregisterowóny <extra_id_0> Òrganizacëji, dze òstôł mù przëdzélony kòd ISO: szl.	<extra_id_0> w Midzenôrodny Jãzëkòwi <extra_id_1>
Za żëcégò miôł òn <extra_id_0> pòkòrã.	<extra_id_0> w sobie wiôlgą <extra_id_1>
Jadowiti <extra_id_0> L.) - to je ôrt roscënë z rodzëznë jastrownikòwatëch (Ranunculaceae).	<extra_id_0> jastrownik (Ranunculus sceleratus <extra_id_1>
Krótczi dzéń <extra_id_0> przedłużenié òkresu wegetacji, a dłudżi dzéń skraca òkres rozwòju wegetatywnego i pòwoduje chùtkie wëtworzenie wiéch.	<extra_id_0> wpłëwa na znaczne <extra_id_1>
Òn <extra_id_0> jin.	<extra_id_0> je laureatã m. <extra_id_1>
Czekawi je fakt, że kòlbrzéskô bliza je <extra_id_0> Kolbergów.	<extra_id_0> w herbie familie <extra_id_1>
Tam jegò grób <extra_id_0> tczą.	<extra_id_0> je òbjimniãti wiôlgą <extra_id_1>
Jak <extra_id_0> że tak pòwólnô gadzëna cos schwôcy?	<extra_id_0> to je mòżno, <extra_id_1>
Òd 2019 <extra_id_0> je senatorã.	<extra_id_0> rokù òna nie <extra_id_1>
Pierwòsznym, jesz wcyg jistniejącym, <extra_id_0> są m. jin.	<extra_id_0> lëdztwã nëch òbszarów <extra_id_1>
