Terô <extra_id_0> wëchòwaniô.	<extra_id_0> je szkólną fizycznégò <extra_id_1>
Pazurnik (Accipiter <extra_id_0> ptôch rabùszny z rodzëznë jastrzibowatëch (Accipitridae).	<extra_id_0> nisus) - strzédny <extra_id_1>
W pòlsczim <extra_id_0> wspóminkù òbowiązkòwégò.	<extra_id_0> Kòscele mô rangã <extra_id_1>
Òd 1982 rokù béłczilekrotnie dzekónem <extra_id_0> Akademii Telogicznej.	<extra_id_0> Òddzélu Filozoficznégò Papiesczi <extra_id_1>
Je to <extra_id_0> erë (pò narodzenim Christusa), 903. rok drëdżégò tësąclecô, 3. rok XX stolatégò, 3. rok 1-égò dzesãcolecô XX stolatégò.	<extra_id_0> 1903 rok naszi <extra_id_1>
W II swiatowi <extra_id_0> nie bëła baro zniszczoné.	<extra_id_0> wòjnie (1945) òna <extra_id_1>
W eùropejsczich jãzëkach miono Japòńskô <extra_id_0> wanożnikòwi Marco Polo, chtëren zapisał wëmòwã mandarińsczégò òpisënkù tich zem: Ciapangu.	<extra_id_0> zjôwiô sã dzãka <extra_id_1>
Lewô <extra_id_0> zdrów człowiek òb noc.	<extra_id_0> strona: Tak widzi <extra_id_1>
Wedle nie to je jakbë òbòwiązk miec dbã ò <extra_id_0> jak nasza.	<extra_id_0> tak wiôlgą kùlturã <extra_id_1>
Wiele pipów nie blus przëdatnyma statkã, <extra_id_0> artistycznô wôrtnota.	<extra_id_0> ale téż mają <extra_id_1>
Sarka przóde mieszka blós <extra_id_0> lasów i chróscënach.	<extra_id_0> w òkòlim rzéków, <extra_id_1>
Franz Tetzner (ùr. <extra_id_0> ùm.	<extra_id_0> 1863 rokù, - <extra_id_1>
Dôwni czãsto plotło sã krãżną techniką, co òznôczô, <extra_id_0> spiralã nieszczépióny kòrzéń przeplôtało sã szczépiónym kòrzeniã.	<extra_id_0> że zwiniãti w <extra_id_1>
Do dzysô téż wiele z nich nalezc jidze w japòńsczich mùzeach abò wëstrzód priwatnëch kòlekcjonérów <extra_id_0> Japòńsczi.	<extra_id_0> w USA ë <extra_id_1>
Szparaga (Asparagus L.) – <extra_id_0> roscënów z rodzëznë szparagòwatëch (Asparagaceae).	<extra_id_0> to je szlach <extra_id_1>
Na spòdlim tëch zôpisów przëjimô sã, że pielgrzimòwanié na Swiãtã Górã w XIV <extra_id_0> jesz tak znóné.	<extra_id_0> stalacu ni bëło <extra_id_1>
Kôczornice <extra_id_0> a jich lëste płëwają na wòdze.	<extra_id_0> mają żôłté kwiatë, <extra_id_1>
Wòjskò otoczëłò i ostrzelëłò Gduńsczi Òkrãtownë; bicé <extra_id_0> wéńc do Òkrãtowni.	<extra_id_0> lëdzy, chtërni chcą <extra_id_1>
Kòminowi <extra_id_0> béł pòdatk òd proga.	<extra_id_0> pòdatk - to <extra_id_1>
Do kùńca <extra_id_0> dniów.	<extra_id_0> roku je 35 <extra_id_1>
Òd <extra_id_0> XX stolata je jednym z najbògatszich klubów sportowych na świece.	<extra_id_0> kùńca lat 90. <extra_id_1>
Pòd kierunkiem Natashy Lytess rozwijała aktorsczé ùmiejãtnosce, a pònadto przeszła kòlejnã zmianã <extra_id_0> jej włosë miały òd tej pòry kòlór platynowégò blondu, przeszła również kòrekcjã wady zgryzu.	<extra_id_0> swòjégò wizerunkù – <extra_id_1>
Kùropatinka (Zapornia parva) — <extra_id_0> wanożny, wòdny ptôch z rodzëznë Rallidae.	<extra_id_0> to je môłi <extra_id_1>
Tajna Organizacja Wojskowa Gryf Pomorski) - to bëła wòjskòwô òrganizacëjô <extra_id_0> Swiatowi Wòjnë.	<extra_id_0> òb czas II <extra_id_1>
Młodzowi <extra_id_0> je kùch ùpiekłi z casta z młodzama.	<extra_id_0> kùch - to <extra_id_1>
Dzysdnia je wiedzec, <extra_id_0> m.jin. spòdlé geneticzné.	<extra_id_0> że mòże miec <extra_id_1>
Zgrôwã <extra_id_0> skandinawskô imperëjô z centróm w Dëńsce.	<extra_id_0> Erika bëła wiôlgô <extra_id_1>
Cantharellus <extra_id_0> (M. Souché) Sacc.	<extra_id_0> cibarius var. neglectus <extra_id_1>
Zesłanié Swiãtégò Dëcha - wôżne <extra_id_0> zesłanié Swiãtégò Dëcha.	<extra_id_0> chrzescëjańsczé swiãto ùwdôrzające <extra_id_1>
Jinszé <extra_id_0> luti.	<extra_id_0> kaszëbsczé miona: wtóran, <extra_id_1>
M.jin. tądkã <extra_id_0> Szlach.	<extra_id_0> jidze turistny, Kaszëbsczi <extra_id_1>
Stolëcznym gardã <extra_id_0> Białystok.	<extra_id_0> pòdlasczégò wòjewództwa je <extra_id_1>
No <extra_id_0> 230 lat.	<extra_id_0> drzewò miało kòl <extra_id_1>
Jãzëkòwò szląsk pòdzélëc mòże na partë pôłniowi ë nordowi (czasã <extra_id_0> strzédny).	<extra_id_0> wëapartniwô sã téż <extra_id_1>
Bótë ùczãstników zabawy <extra_id_0> rôdze, jeden za dredżim.	<extra_id_0> ùstawioné są w <extra_id_1>
Jak <extra_id_0> kwiatnik?	<extra_id_0> mòżna jesc <extra_id_1>
Òwczô kòstrzewa <extra_id_0> - to je ôrt roscënë z rodzëznë Poaceae.	<extra_id_0> (Festuca ovina L.) <extra_id_1>
W młodich latach <extra_id_0> jin.	<extra_id_0> ùcził sã m. <extra_id_1>
Liturgiczny <extra_id_0> Eucharistią.	<extra_id_0> dzéń kùńczi sã <extra_id_1>
Genowefa - to pòdług stôri legendë je miono nôbòżny i snôżi <extra_id_0> przez lëdzką òbmòwã niedowinnie wënëkónô z pałacu.	<extra_id_0> ksãżniczczi, chtërna bëła <extra_id_1>
Dłudżi lata mieszkôł <extra_id_0> kapitena Felix Struck.	<extra_id_0> w tim òkòlim <extra_id_1>
Ùrodzył <extra_id_0> 1892 roku.	<extra_id_0> sã 08 stëcznika <extra_id_1>
Pò <extra_id_0> wanożec.	<extra_id_0> ni ni mòżna <extra_id_1>
Słowò „telewizjô” je na co dzéń ùżiwóné jakò òglowé òkreslenié òrganizacjów, <extra_id_0> produkcją i rozkòscérzanim telewizyjnëch programów.	<extra_id_0> jaczé zajimają să <extra_id_1>
Tam <extra_id_0> òbjimniãti wiôlgą tczą.	<extra_id_0> jegò grób je <extra_id_1>
Długò wierzono, że Mozart zmarł w nãdzë <extra_id_0> w grobie dla ùbòdżich.	<extra_id_0> i zapòmnieniu, pòchòwany <extra_id_1>
Chòc Szutanbarch splôtô swòje pòwiôstczi z mało wôżnëch sztëczków <extra_id_0> w całoscë je w nich wiele dzysdniowi gbùrsczi òbëczajnotë.	<extra_id_0> wiejsczi jawernotë, to <extra_id_1>
W latach <extra_id_0> w pôłniowi Francji.	<extra_id_0> 1225-1227 głosył kôzania <extra_id_1>
Drawsko <extra_id_0> miem.	<extra_id_0> Pomorskie, <extra_id_1>
Je to 1403 rok naszi erë (pò narodzenim Christusa), 403. <extra_id_0> 3. rok XV stolatégò, 3. rok 1-égò dzesãcolecô XV stolatégò.	<extra_id_0> rok drëdżégò tësąclecô, <extra_id_1>
Òd 751 rokù brëkòwano w <extra_id_0> do zapisënków.	<extra_id_0> Kòreji drzewianëch bloków <extra_id_1>
Różné zortë kòralowców - wiejôkòwati i pierzasti, a téż pòkrewné z <extra_id_0> jinszé jistotë mają snôżé farwë: czerwioné, żôłté, apfelzynowé, lilewé, różewé i zeloné.	<extra_id_0> nima szwamë i <extra_id_1>
Wedle wszelczégò prôwdopòdowieństwa Ewanieliô Łukasza i Dzeje Apòstolsczi pówstałë w tim samim czase, w datowaniu Ewanielië Łukasza wëzwëskùje sã <extra_id_0> tekstu Dzejów i òdwrotno.	<extra_id_0> argùmentë zaczerpniãté z <extra_id_1>
Te dwa cała krążą wkół pòspólnégò strzódka masë, a że czôrnô dzura je niewidocznô, <extra_id_0> jasny składnik òbrôcô sã wkół niczegò.	<extra_id_0> wëdôwô sã, że <extra_id_1>
Pamiãtnik – to je lëteracczi gatënk, relacjô pisónô <extra_id_0> chtërnych autor béł bëtnikiem abò òcznym swiôdkiem.	<extra_id_0> prozą ò przëtrôfkach, <extra_id_1>
Czijew pòwstôł ju na <extra_id_0> jakò targòwi pùnkt na szlachù, jaczi łącził Kònstantinopòl ze Skandinawią.	<extra_id_0> zôczątkù V stalatégò <extra_id_1>
We wschòdnym i pôłniowim dzélu Africzi roscą nisczé i wësoczé trôwë, <extra_id_0> baòbabë, akacje), a téż préklowaté chwarzna.	<extra_id_0> pòjedińczé drzewa (palmë, <extra_id_1>
Swiãtô Cecyliô je <extra_id_0> mùzykańtów, òrganistów.	<extra_id_0> patronką chùrzistów, lëtniôrzów, <extra_id_1>
Szczecinek (we zdrojach: Neuen <extra_id_0> Kleinstetin 1575 (1579), Neustettin, Nowoszczecin 1707, Nowy Szczecin, Szczecinek XIX w., Szczecink (Cenôwa) ; miem.	<extra_id_0> Stetin, Nien Stettin, <extra_id_1>
Wikszosc z nich pòwstała w <extra_id_0> s. p.n.e. do kùńca I s. n.e.	<extra_id_0> czasu òd II <extra_id_1>
Mòże je <extra_id_0> wësëpiskò.	<extra_id_0> téż wëwiezc na <extra_id_1>
Anne Pellowski (1933 - ) <extra_id_0> amerikańskô pisôrka.	<extra_id_0> - to je <extra_id_1>
Zwëczajny twórz (Mustela putorius) - <extra_id_0> susk z rodzëznë łasëczkòwatëch.	<extra_id_0> to je rabùszny <extra_id_1>
To je rodnô mòwa dlô <extra_id_0> lëdzy.	<extra_id_0> kòl 160 milionów <extra_id_1>
Chałëpniczi <extra_id_0> rëbë.	<extra_id_0> chãtno jedzą tilkò <extra_id_1>
Kanón Swiãtégò Pisma òznôczô zbiérnik ksąg ùznônëch <extra_id_0> przez to za normã wiarë.	<extra_id_0> za zôwzãté i <extra_id_1>
Głową państwa je <extra_id_0> wòlnych wëbòrach.	<extra_id_0> prezydenta, welowóny w <extra_id_1>
Do Pòmòrsczi doprzëszli zôs wnożniczi z westrzédni Pòlsczi ë Kresów, ë téż mùszowi prôcowniczi z òdpòjãtich lôgrów <extra_id_0> M. (red.), Pomorze Zachodnie poprzez wieki, Szczecin: Zamek Książąt Pomorskich, 1999.	<extra_id_0> prôcë Piskorski, J. <extra_id_1>
Kanón <extra_id_0> żëdzëznie òpisano kòl kùńca I s.n.e. w Jamni (Jawne).	<extra_id_0> swiãtëch ksąg w <extra_id_1>
Pòcztowi kòd <extra_id_0> numer je to réga cyfrów abò cyfrów ë lëtrów dodôwanô do adresu, jakô mô za zgrôw ùłatwianié zortowaniégò pòcztowëch przeséłków.	<extra_id_0> abò pòcztowi adresowi <extra_id_1>
Sztôłconé tu czedës w seminarii ksãża, bëlë <extra_id_0> ò dësze w pòlsczim i górnomiemiecczim jãzëkù.	<extra_id_0> przëszëkòwóné do starë <extra_id_1>
Sakrameńtë wprowôdzelë stãpniowò, razã ze <extra_id_0> òrganizacje.	<extra_id_0> zmòcniwanim chrzescëjańsczi kòscelny <extra_id_1>
Pòd kùńc 19. <extra_id_0> sã sedzbą gromadzczich wëszëznów.	<extra_id_0> stalatégò Kãtrzëno stało <extra_id_1>
Je to 1388 rok naszi erë (pò narodzenim Christusa), <extra_id_0> tësąclecô, 88. rok XIV stolatégò, 8. rok 9-égò dzesãcolecô XIV stolatégò.	<extra_id_0> 388. rok drëdżégò <extra_id_1>
Rozcëgò sã òd Atlantëcczégò Òceanu na zôpôdze do górów Ùral na pòrénkù razã z tima gòrama, téż òd Westrzódzemnegò Mòrza, Czôrnégò Mòrza ë òbniżeniô Kùmskò-Manëcczégò <extra_id_0> Nordowégò Mòrza na nordze.	<extra_id_0> na pôłnim do <extra_id_1>
Zakopane <extra_id_0> krézu.	<extra_id_0> je stolëcą tatrzańsczégò <extra_id_1>
Wãsórë <extra_id_0> z wiele wczasowima chëczama ë agrokwatérama.	<extra_id_0> są turistnym òstrzódkã <extra_id_1>
Nen je téż <extra_id_0> temù jëż z niegò jidze bana ë szaséjô na Ranã.	<extra_id_0> zwóny "Rańską Brómą" <extra_id_1>
Zwëczajny klãskôcz (Coccothraustes coccothraustes) - to <extra_id_0> z rodzëznë łëzgôczów.	<extra_id_0> je môłi ptôch <extra_id_1>
Prawie téż ùsôdzô òna widzawiszcza: Òbrôzczi <extra_id_0> np.	<extra_id_0> na binã (2005), <extra_id_1>
W Rzimsczim Jimperium piwò bëło wszãdze tam, dze bëłë <extra_id_0> wina.	<extra_id_0> jiwrë w dostanim <extra_id_1>
W wiekù 14 lat starôł sã ò członkòstwo w cnotliwym Towarzëstwie Arkadyjsczim przë Phylandrii <extra_id_0> Phylandria), òstôł jednak òdrzucony z powodu swòich ekscesów.	<extra_id_0> (Arkadische Gesellschaft zu <extra_id_1>
Je to 1821 rok naszi erë (pò narodzenim Christusa), 821. rok drëdżégò tësąclecô, 21. rok XIX <extra_id_0> 3-égò dzesãcolecô XIX stolatégò.	<extra_id_0> stolatégò, 1. rok <extra_id_1>
Bëł <extra_id_0> Pòlsczi.	<extra_id_0> slédnym królã <extra_id_1>
Do kùńca <extra_id_0> dniów.	<extra_id_0> roku je 130 <extra_id_1>
Ji <extra_id_0> mòżlëwi.	<extra_id_0> lékarzenié je <extra_id_1>
Czej ùmarła mu piérszô biôłka, <extra_id_0> z Abiah Folger.	<extra_id_0> tej òżenił sã <extra_id_1>
Je to 863 rok naszi <extra_id_0> Christusa), 863. rok pierszégò tësąclecégò, 63. rok IX stalatégò, 3. rok 7-égò dzesãcolecô IX stalatégò.	<extra_id_0> erë (pò narodzenim <extra_id_1>
Alior Bank - <extra_id_0> w Pòlsce.	<extra_id_0> to je bank <extra_id_1>
Òn uznôł, że: "Jô jem dlô nieba - niebò dlô mie; bò tam dësza naléze to <extra_id_0> swiece wiedno zgrôwô - szczescé."	<extra_id_0> do czegò na <extra_id_1>
W kaszëbsczim wëdôwóné są knéżczi, cządniczi a <extra_id_0> w radiu czë telewizëji.	<extra_id_0> téż nadôwóné programë <extra_id_1>
Swòją pierwszą brômkã zdobéł 25 rujana <extra_id_0> Częstochòwa.	<extra_id_0> 2003 dlô KS <extra_id_1>
Strzébro (łac. <extra_id_0> je chemiczny pierwiôstk, metal.	<extra_id_0> argentum) – to <extra_id_1>
E., Przewodnik do rozpoznawania roślin <extra_id_0> wycieczce, Warszawa 2000, s.36.	<extra_id_0> i zwierząt na <extra_id_1>
Syjamskô pôrka – to <extra_id_0> dzélowò zrosłëch ze sobą.	<extra_id_0> je dwòje lëdzy <extra_id_1>
Brzãczącô <extra_id_0> - to je ôrt òwada z rodzëznë robacznicowatëch (Calliphoridae).	<extra_id_0> robacznica (Calliphora vomitoria) <extra_id_1>
Nicejskò-kònstantinopòlsczi symbòl wiarë – chrzescyjańsczé <extra_id_0> rozkòscérzóné westrzód tekstów credo ùżiwónëch wespółczasno w liturgiach.	<extra_id_0> wëznanié wiarë, nôbarżi <extra_id_1>
Bëło <extra_id_0> na pòlsczim prawie, słëchającé do lãbòrsczi zemi.	<extra_id_0> to òsedlé założoné <extra_id_1>
I tam, ze sôdzë, napisôł swoje trzë Lëste: do Kolosanów, do Efezjanów, so Filemóna <extra_id_0> niejednëch, dopiérë tedë béł napisóny Lëst do Filëpianów).	<extra_id_0> (téż, pg udbë <extra_id_1>
W <extra_id_0> ùcził sã m. jin.	<extra_id_0> młodich latach òn <extra_id_1>
Pragnã <extra_id_0> nie bãdã mógł zwëcãżëc, niech bãdã dzyrsczi w swòjim staranim.	<extra_id_0> zwëcãżëc, równak jeżlë <extra_id_1>
Trąbka to <extra_id_0> karna dmùsznych.	<extra_id_0> mùzyczny jinstrument z <extra_id_1>
Dërżeniowé lëdze Mapuche <extra_id_0> jãzëkama mapudungun i keczua, a na Jastrowim Òstrówie lëdze môją jãzëk rapanui.	<extra_id_0> i Aracuanë gôdôja <extra_id_1>
Dzysô <extra_id_0> dosc zabôczonym warkã.	<extra_id_0> młënôrz je tu <extra_id_1>
Na <extra_id_0> górë i pògórza.	<extra_id_0> pôłniowim pòrénkù stôré <extra_id_1>
Pò tich wszëtczich wydarzeniach z Monachium kibice Manchesteru United <extra_id_0> szléfë na biôło-czerwionych szalach.	<extra_id_0> zaczãlë nosëc czôrné <extra_id_1>
Pózni robił dlô <extra_id_0> Pôłniowi.	<extra_id_0> wëwiadë w Rodezji <extra_id_1>
Òni bëlë drëchama Christusa, a òn czãsto <extra_id_0> doma.	<extra_id_0> gòscył ù nich <extra_id_1>
Jegò <extra_id_0> òd cządu roku.	<extra_id_0> jôda je rozmajitô,zanôlégò <extra_id_1>
Ta roslëna pòjawia sã pò <extra_id_0> siéwë.	<extra_id_0> 8-12 dniach od <extra_id_1>
W domëslenim bës pòzwã <extra_id_0> kòmpùtrë sparłączony drutã.	<extra_id_0> môlowô séc rozmiejemë <extra_id_1>
Strzeżëta <extra_id_0> ti spôdkòwiznë, chtërné znaczą ò Waji juwernoce.	<extra_id_0> tëch wôrtnotów i <extra_id_1>
Zdzinãło 8 miónkôrzy i téż uczbieńcowie: <extra_id_0> Whalley, Tom Curry.	<extra_id_0> Walter Crickmer, Bert <extra_id_1>
Szpétë <extra_id_0> pôlcoma.	<extra_id_0> krótczi z dłdżima <extra_id_1>
Domôcy kóń (Equus caballus L.) – <extra_id_0> susk z rodzëznë kòniowatëch (Equidae).	<extra_id_0> to je niepôrokòpëtny <extra_id_1>
Liryka ksãdza <extra_id_0> Bògù i lëdzach.	<extra_id_0> Twardowsczégò òpowiadô ò <extra_id_1>
W stôwornym <extra_id_0> zôs przedstôwcowie chòrwacczi i wãgersczi miészëznë.	<extra_id_0> kraju Burgenland mieszkają <extra_id_1>
Japòńskô <extra_id_0> mònarszëją.	<extra_id_0> je kònstitucjową <extra_id_1>
Jegò <extra_id_0> szkòła.	<extra_id_0> miono mô <extra_id_1>
Nasze òbleczenié <extra_id_0> pògòdë abò niepeleczi.	<extra_id_0> mòcno zanôlégô òd <extra_id_1>
Skòwrónk <extra_id_0> pësznégò spiéwù.	<extra_id_0> je znóny z <extra_id_1>
Ògród - to je to <extra_id_0> roscą rozmajité roscënë.	<extra_id_0> plac, na chtërnym <extra_id_1>
Encyclopædia Britannica z 32 tomama <extra_id_0> 65.000 artiklów.	<extra_id_0> ë wicy jak <extra_id_1>
Gdańsk : <extra_id_0> 2012.	<extra_id_0> Centralne Muzeum Morskie, <extra_id_1>
Lëpin (Lupinus L.) – to <extra_id_0> z rodzëznë bòbòwatëch.	<extra_id_0> je szlach roscёnów <extra_id_1>
Je autorã felietónów w <extra_id_0> felietón”).	<extra_id_0> „Nordze” (rubrika „Kaszebsczi <extra_id_1>
Ùczãstnik <extra_id_0> i 2016.	<extra_id_0> Miónków Eùropë 2012 <extra_id_1>
Òn z <extra_id_0> Bóg.	<extra_id_0> dzecka Òjc, naj <extra_id_1>
Walcził z miemiecczim margrabią Hodonã, zwëcãżającë w wôżny biôtce pòd Cedënią w 972. <extra_id_0> Òdrë.	<extra_id_0> Zdobëł téż ùjsce <extra_id_1>
Je to 1888 rok naszi erë (pò narodzenim Christusa), 888. rok drëdżégò tësąclecô, 88. rok <extra_id_0> rok 9-égò dzesãcolecô XIX stolatégò.	<extra_id_0> XIX stolatégò, 8. <extra_id_1>
Kwiôtë w ksztôłce <extra_id_0> w czerwincu ë lëpińcu.	<extra_id_0> dzwoneczków pòjawiają sã <extra_id_1>
Zjôdanié swiéżich jagód ë jich produktów wzmòcniwô zdrok, pòprôwiô òstrosc widzeniô, <extra_id_0> cemkù.	<extra_id_0> przede wszëtczim ò <extra_id_1>
Pùrtk - je to <extra_id_0> swãdu i głëpòtë.	<extra_id_0> mëti duch smardu, <extra_id_1>
Wëprowôdzô nas z bezchwatnégò cała i pòkazëje nama, <extra_id_0> bëlë i co nas żdże w przëchadnym.	<extra_id_0> dze më czedës <extra_id_1>
Wiôldżi niesmiertelnik (Sedum maximum) – to <extra_id_0> z rodzëznë grëbòszowatëch (Crassulaceae).	<extra_id_0> je ôrt roscënë <extra_id_1>
Jegò robota polégô na <extra_id_0> z fòtografią.	<extra_id_0> rozkoscérzanim kùlturë sparłãczony <extra_id_1>
Zofiô Ptôch <extra_id_0> ùm.	<extra_id_0> (ùr. 1896 – <extra_id_1>
Kòlce strzédnio wiôldżé, <extra_id_0> zakrzëwioné.	<extra_id_0> nôgle zaòstrzoné, kąsk <extra_id_1>
Sztrôfné dzejanié procëm sprôwcë zatrzëmiwô sã ju w <extra_id_0> nigle przińdze do rozprawë ë òbsądzeniô.	<extra_id_0> sztóce przëszëkùjącégò sprôwianiô, <extra_id_1>
Je to 868 rok naszi erë (pò narodzenim Christusa), 868. <extra_id_0> 68. rok IX stalatégò, 8. rok 7-égò dzesãcolecô IX stalatégò.	<extra_id_0> rok pierszégò tësąclecégò, <extra_id_1>
Kajawsczi dialekt je <extra_id_0> Chòrwacczi.	<extra_id_0> rozpòmiónowóny w nordowi <extra_id_1>
W 1219 rokù <extra_id_0> ksãdza.	<extra_id_0> òstôł wëswiãcony na <extra_id_1>
Je to 1392 rok naszi erë (pò narodzenim Christusa), <extra_id_0> tësąclecô, 92. rok XIV stolatégò, 2. rok 10-égò dzesãcolecô XIV stolatégò.	<extra_id_0> 392. rok drëdżégò <extra_id_1>
Szãtopiérze <extra_id_0> je rząd susków, chtërne lôtają.	<extra_id_0> (Chiroptera) - to <extra_id_1>
Lëdze sadzą je <extra_id_0> jôdny brzôd.	<extra_id_0> bò mają òne <extra_id_1>
Biwało tak, że stôré <extra_id_0> òbrzãdë zléwałë sã z chrzescëjańsczima.	<extra_id_0> pògańsczé wierzenia i <extra_id_1>
Na zacht òbéńdach (kòl 16,5 mln km²) Azeji są pùstinie, chtërne <extra_id_0> zwartnikòwej (Arabsczi Pòłòstrów, Hindustańskô Niżawa), pòdzwartnikòwej (pùstinie Jiranu) jakno téż w letnéj, kòntinentalnej (Turańskô Niżawa, Kaszgarskô Wlëga.	<extra_id_0> są w conach <extra_id_1>
Wedle pòdôwków z 2002 rokù, strzédny wzątk <extra_id_0> 1146,32 zł.	<extra_id_0> na mieszkańca béł <extra_id_1>
Bez òstatné lata <extra_id_0> lëdzy pòdług lasu.	<extra_id_0> zmieniło sã mëszlenié <extra_id_1>
Je to 1750 rok naszi erë (pò narodzenim Christusa), 750. rok drëdżégò tësąclecô, 50. rok XVIII stolatégò, <extra_id_0> dzesãcolecô XVIII stolatégò.	<extra_id_0> 10. rok 5-égò <extra_id_1>
We Francji Mariô dowiedzëła sã <extra_id_0> ùranu, baderowanégò przez Henriégò Bacquerele.	<extra_id_0> o parminieniu pierwiôstka <extra_id_1>
Ùsztôłcenié terenu Bùłgarie je zwiksza górzësté, na <extra_id_0> wschòdze niżawë.	<extra_id_0> nordze i pôłniowim <extra_id_1>
Òd 1370 do 1399 rokù rządzёło dwuch mònarchów z Wądżiersczi Ùnii Andegawenów, a òd 1386 do 1572 <extra_id_0> Jagielonów z liniji litewsczich Giedyminowiczów.	<extra_id_0> rokù przedstôwcowie dinastëji <extra_id_1>
Jegò przëswòjenié mô <extra_id_0> naturalny ôrt, w dzectwie, w òkrãżu zajimùjącym sã w przédnym dzélu dozéraniém môlegò człowieka.	<extra_id_0> swój plac, na <extra_id_1>
Pò smiercë chłopa òbjãła pò nim funkcjã czerownika <extra_id_0> pòdwarszawsczim Lesznie, a tej pełniła funkcjã wiceprezesa miejscowégò klubù Partyzant, w chtërnym pierszé piłkarsczé kroczi stawiôł Robert.	<extra_id_0> spòrtòwi hali w <extra_id_1>
Czedë miôł 21 lat, wzął ùdzyl <extra_id_0> Asëżem a Perudżią.	<extra_id_0> w wòjnie miãdzy <extra_id_1>
Leno <extra_id_0> trudni gò mòżna nalézc.	<extra_id_0> szkòda że corôz <extra_id_1>
Wòjcecha <extra_id_0> Warszawie.	<extra_id_0> Górsczigù w <extra_id_1>
W winikù tegò na pòlsczim <extra_id_0> dinastia.	<extra_id_0> tronie zasadła nowô <extra_id_1>
Je to 1826 rok naszi erë (pò narodzenim Christusa), 826. rok drëdżégò tësąclecô, 26. rok XIX <extra_id_0> 3-égò dzesãcolecô XIX stolatégò.	<extra_id_0> stolatégò, 6. rok <extra_id_1>
Ò <extra_id_0> napisôł pò pòlskù ks.	<extra_id_0> tich sprawach spòrò <extra_id_1>
Héklowanié to je proces wërôbianiô <extra_id_0> héklôcza.	<extra_id_0> wiãzëdła prze pòmocë <extra_id_1>
Piotra i Pawła; 2) òpisëjącé tóń, a <extra_id_0> np.	<extra_id_0> wic ji topògrafiã, <extra_id_1>
Do <extra_id_0> 148 dniów.	<extra_id_0> kùńca roku je <extra_id_1>
Drzéwiany klôsztór òtôczô piãknô przyroda, a prosté, sërowé warunczi z <extra_id_0> pątnikóm, bë nalôzc Bòga.	<extra_id_0> wszechògarniającą cëszą pòmôgają <extra_id_1>
Dôwni słowò <extra_id_0> chłopsczi bùksë.	<extra_id_0> to òznôczało téż <extra_id_1>
Zôbòrskô Zemia (terra Zaborensis) je <extra_id_0> chtërnë béł kasztelan de Sabor w 1292 r. S. Kujot pisôł, że ò ni je w dokumence z 1299r.	<extra_id_0> wierã tą z <extra_id_1>
Rôdzëno <extra_id_0> (Cenôwa); pòl.	<extra_id_0> (we zdrojach: Radzin <extra_id_1>
Gwara słowińskô nalazała tuwò wedle niegò plac <extra_id_0> dialektów pòmòrsczégò jãzëka, kòl tich ze sztolpsczégò, lãbòrsczégò ë pùcczégò krézu.	<extra_id_0> w dzélu nordowich <extra_id_1>
