Pierszé <extra_id_0> jaczi pòzwã pòdónô bëła w fòrmie "Poblocz" pòchôdô z 1401 rokù.	<extra_id_0> wiadło ò wsë, <extra_id_1>
Żebë łowic na jezorach i rzékach rëbôcë wëkòrzôstiwają môłi czôłna, na mòrzach kùtrë, a <extra_id_0> òceanowich wialdżi òkrãtë.	<extra_id_0> do dalekòmòrsczich i <extra_id_1>
Kawa to napitk <extra_id_0> zôrnów kawowca.	<extra_id_0> zrobiony z pôlonych <extra_id_1>
Pòéta miôł bëté w ji domôcym majątkù w Tuhanowiczach i <extra_id_0> miłotą.	<extra_id_0> ùlubił jã dejowną <extra_id_1>
Niejedne jegò òbrazë <extra_id_0> 1939 rokù.	<extra_id_0> zniszczëlë Miemcë w <extra_id_1>
Gùrka (Cucumis sativus L.) – to je <extra_id_0> baniowatëch.	<extra_id_0> roscëna z rodzëznë <extra_id_1>
Mieszkô <extra_id_0> Massachusetts, Z.S.A.). Òd 1985 r.	<extra_id_0> w Bòstonie (stón <extra_id_1>
Anne <extra_id_0> wszëtczim pòwiôstczi prozatorsczé.	<extra_id_0> Pellowski ùrôbia przede <extra_id_1>
Pas - to <extra_id_0> sztëk skórë, wôrpòwinë abò jinégò sztofù.	<extra_id_0> je dłudżi, wąsczi <extra_id_1>
Jegò farwné piôra są wnetka taczé <extra_id_0> i cążkò gò òbaczëc òsoblëwie jak zamknie òczë.	<extra_id_0> jak farwa pnia <extra_id_1>
Anas querquedula) – to je ôrt strzédnégò wòdnégò ptôcha <extra_id_0> (Anatidae).	<extra_id_0> z rodzëznë kaczkòwatëch <extra_id_1>
Bliza ta je jinô, <extra_id_0> ni mô wiôldżégò sygu.	<extra_id_0> przez to, że <extra_id_1>
Eùropejsczi skrzeczk (Cricetus cricetus) – to je susk <extra_id_0> rodzëznë skrzeczkòwatëch.	<extra_id_0> i grëzôk z <extra_id_1>
Czedë miôł 21 <extra_id_0> w wòjnie miãdzy Asëżem a Perudżią.	<extra_id_0> lat, wzął ùdzyl <extra_id_1>
W ji <extra_id_0> corôz pòmalni.	<extra_id_0> òkòlim czas płënie <extra_id_1>
Fòtografijô je proces twòrzeniégò sztabilnëch òbrazów w rozmajitëch <extra_id_0> widu.	<extra_id_0> technikach z pòmòcą <extra_id_1>
Pòdbiôłtk (Tussilago farfara <extra_id_0> je wielelatny roscëna z rodzëznë astrowatëch (Asteraceae).	<extra_id_0> L.) – to <extra_id_1>
Wiérzk cała bruny z cemniészim sztrichaniém; <extra_id_0> cemnobruny ò biôłëch rańtach; spódk cała żôłtawobiôłi.	<extra_id_0> skrzidła i ògón <extra_id_1>
Czésc Matczi Bòżej w <extra_id_0> baro rozwiniętô.	<extra_id_0> dodómòwim żëcu bëła <extra_id_1>
Dokôzë lëteracczé drëkòwôł midzë jinszima w “Tatczëznie”, <extra_id_0> “Pomeranii” ë “Nordze”.	<extra_id_0> “Gazéce Kartësczi”, “Zsziwkù”, <extra_id_1>
Głosowanié – to je metoda <extra_id_0> zgromadzeniu lëdzczim taczim szëkiem, że kòżdi z bëtników tegò zgromadzeniô dôwô swój głos.	<extra_id_0> pòdjimaniô rozsądzënkù w <extra_id_1>
Bëło twòrzoné z aùtenticznych lëstów <extra_id_0> bez dzecë i młodzëzna.	<extra_id_0> i materiałów nadesłónych <extra_id_1>
Je to 1715 rok naszi erë (pò narodzenim Christusa), 715. rok drëdżégò tësąclecô, 15. rok <extra_id_0> rok 2-égò dzesãcolecô XVIII stolatégò.	<extra_id_0> XVIII stolatégò, 5. <extra_id_1>
Talôr <extra_id_0> mònéta (strzébrzny dëtk) ò zacht wôrtnoce.	<extra_id_0> – wiôlgô strzébrznô <extra_id_1>
Òn mòże <extra_id_0> lata.	<extra_id_0> bëc na stôré <extra_id_1>
Dôwny gmach <extra_id_0> Marchiô Pòznóń-Zôpadnô Prëskô w Piele, dzys Szkòła Pòlicëjé.	<extra_id_0> administracëjé prowincëjé Nôgrańcznô <extra_id_1>
Chirurgiczny wãzeł - to <extra_id_0> chtëren robią np.	<extra_id_0> je apartny wãzeł, <extra_id_1>
Neùtronowô gwiôzda <extra_id_0> wënikù wëbùchù gwiôzdë tzw. supernowi w póznym stadium ewòlucji gwiôzdów.	<extra_id_0> – pòwstaje w <extra_id_1>
Jednak <extra_id_0> gatënkòw baktrié, jaczim je belno w słonym strzodowiskù.	<extra_id_0> ùczałi òdkrëlë 11 <extra_id_1>
Gard je <extra_id_0> krézu.	<extra_id_0> na 3,53% wiéchrzëznié <extra_id_1>
Nôstarszim znónym zdrojã w jaczim <extra_id_0> "Krajnô" je ùkłôd midzë Mestwinã II a Przemisławã II z 1282 rokù, równak historëcë ùznôwają, że no miono bëło brëkòwóné ju wiele wczasny.	<extra_id_0> pòjôwiô sã miono <extra_id_1>
Bëła <extra_id_0> i kùlturów.	<extra_id_0> tu mòzajika religii <extra_id_1>
Mòtława <extra_id_0> dłużawë 64,7 km.	<extra_id_0> to je rzéka <extra_id_1>
Rozcëgò sã òd Atlantëcczégò Òceanu na zôpôdze do górów Ùral na pòrénkù razã z tima gòrama, téż <extra_id_0> Czôrnégò Mòrza ë òbniżeniô Kùmskò-Manëcczégò na pôłnim do Nordowégò Mòrza na nordze.	<extra_id_0> òd Westrzódzemnegò Mòrza, <extra_id_1>
Pò lãgòwim czasu kanie <extra_id_0> karnach dochódôjącëch nawetka do sto sztëk.	<extra_id_0> mògą noclegòwac w <extra_id_1>
Przëlôtiwają òne do naji z <extra_id_0> zymkù.	<extra_id_0> cepłich krajów na <extra_id_1>
Tu òd <extra_id_0> kaszëbsczé dożniwczi.	<extra_id_0> 1936 rokù biwałë <extra_id_1>
Do <extra_id_0> 137 dniów.	<extra_id_0> kùńca roku je <extra_id_1>
Zôczątk dzélnicowégò rozbicégò pòdzelenié Pòlsczégò <extra_id_0> Bolesława Krzëwògãbégò.	<extra_id_0> Ksãżstwa pòdle testamentu <extra_id_1>
Strzódzemné Mòrze jakno jediné na swiece <extra_id_0> nôleżącëma do trzech dzélów swiata.	<extra_id_0> òtoczoné je kòntinentama <extra_id_1>
Prôwdzëwô Cerkwiô Jezësa (chiń: 真耶穌教會) <extra_id_0> Chinach kòscół zelonoswiątkòwi.	<extra_id_0> – pòwstałi w <extra_id_1>
W zwëkù je òglowô spòwiédz, <extra_id_0> téż spòwiédz jindiwidualnô.	<extra_id_0> chòc ùznawónô je <extra_id_1>
Pierszi w nim <extra_id_0> - Papiéż.	<extra_id_0> je Biskùp Rzimù <extra_id_1>
W zôpadnym swiece lëteratura je nôczãscy <extra_id_0> główné lëteracczé zortë: epikã, lirikã ë dramã.	<extra_id_0> dzelonô na trzë <extra_id_1>
Czedës <extra_id_0> pùstczi.	<extra_id_0> to bëłë <extra_id_1>
Są wersje dlô starszich <extra_id_0> jak i dlô dzecy (na sztôłt rebùsów).	<extra_id_0> (z eroticznym pòdtekstã) <extra_id_1>
Przë wëmiôtaniu nôleżi jednak ùważac na <extra_id_0> wëmiatac ani wërzëcac za próg bùten, bò szczãscé mògłobë òpùscëc chëcz.	<extra_id_0> smiecë,nie wòlno jich <extra_id_1>
Cemny bòrzón (Suillellus luridus) - to <extra_id_0> z rodzëznë bòrzónowatëch.	<extra_id_0> je ôrt grzëba <extra_id_1>
Jak òkresliwô E. Prëczkòwsczi „Kaszëbi, chtërny <extra_id_0> nôłożen bëc na antenie TV, „Rodną Zemiã” ùwôżelë jakno swój program.	<extra_id_0> przódë nie bëlë <extra_id_1>
Z <extra_id_0> lodowcowi jãzór.	<extra_id_0> niegò mòże wëchôdac <extra_id_1>
Czëpnica (Bombycilla garrulus) – to je <extra_id_0> z rodzëznë czëpnicowatëch.	<extra_id_0> môłi, wanożny ptôch <extra_id_1>
Kaszëbsczi krziż - béł zrobiony <extra_id_0> stojił kòl grobù.	<extra_id_0> z żelazła i <extra_id_1>
Jimiã chłopsczé <extra_id_0> łacińsczégò.	<extra_id_0> pòchòdôjãcé z jãzëka <extra_id_1>
Grzëbë <extra_id_0> do domenë jądrowców (Eucaryota).	<extra_id_0> – królestwo nôleżą <extra_id_1>
W spòsobie <extra_id_0> ùchòwałe.	<extra_id_0> ce dlô nas <extra_id_1>
Dodatné temperaturë trzimają sã <extra_id_0> w rokù.	<extra_id_0> przez 125—155 dniów <extra_id_1>
Spòdlëczną farwą slëmiénia je bruny w <extra_id_0> jasnokawòwégò do cemnobrunégò z kòprowim łiskã.	<extra_id_0> rozmajitëch tãczënach, òd <extra_id_1>
Mają òne wôżny <extra_id_0> òpòwiescach.	<extra_id_0> môl w lëdowëch <extra_id_1>
Ana Łajming (1904-2003) - <extra_id_0> pisôrka.	<extra_id_0> kaszëbskô i pòlskô <extra_id_1>
Jeden dżul je to robòta, jakô je wëkònóny sëłą jednégò niutona na drodze jednégò métra, <extra_id_0> dzejô w czerënkù przesuwaniégò cała.	<extra_id_0> ale ta sëła <extra_id_1>
Wëcygni <extra_id_0> tóni.	<extra_id_0> nas z ti <extra_id_1>
W katédrze wôrt je <extra_id_0> òrganów.	<extra_id_0> pòsłëchac mùzyczi stôrëch <extra_id_1>
Lëscëna – to je ùkłôd lëstów, <extra_id_0> sã midzë sobą jich ùłożenim.	<extra_id_0> a roscënë jinaczą <extra_id_1>
Gardë Czech, chtërne mają <extra_id_0> 000 lëdzy.	<extra_id_0> wiãcy jak 50 <extra_id_1>
Òn dôł <extra_id_0> w Szczecënie.	<extra_id_0> pòstawic Marijën Kòscół <extra_id_1>
To je strzimanié sã òd <extra_id_0> ògrańczenim jestkù.	<extra_id_0> jedzeniégò miãsa i <extra_id_1>
Je to 857 rok naszi erë (pò narodzenim Christusa), <extra_id_0> tësąclecégò, 57. rok IX stalatégò, 7. rok 6-égò dzesãcolecô IX stalatégò.	<extra_id_0> 857. rok pierszégò <extra_id_1>
Tã <extra_id_0> Mickewicza – tzw. liriczi lozańsczé.	<extra_id_0> pòwstôwają slédné wiérztë <extra_id_1>
Zwëczajny wąsôcz (Silurus <extra_id_0> rëba z rodzëznë wąsôczowatëch (Siluridae).	<extra_id_0> glanis) to je <extra_id_1>
Subisłôw <extra_id_0> chłopsczégò ôrtu.	<extra_id_0> - kaszëbszczé miono <extra_id_1>
Òstôł òdkrëti w <extra_id_0> astronoma Clyde'a Tombaugha.	<extra_id_0> 1930 przez amerikańsczégò <extra_id_1>
Slédz to je rëba z rodzënë slédzowatëch, <extra_id_0> Atlantikù ë przëległich mòrzach.	<extra_id_0> wëstãpiwô na nordze <extra_id_1>
Pòcwierdzającë prawa <extra_id_0> pòlsczégò.	<extra_id_0> Andegawenów do tronu <extra_id_1>
Òstrzëca (Gasterosteus aculeatus) - to <extra_id_0> rodzëznë òstrzëcowatëch.	<extra_id_0> je rëba z <extra_id_1>
Tak je dlôte, że w <extra_id_0> dzejacelnosc, pòjawiło sã wiele małé rëbë.	<extra_id_0> jezorach òb lëdzką <extra_id_1>
W 1944 rokù pierszi rôz pòkôzôł sã na Broadwayu w Music Box Theatre jakno <extra_id_0> I Remember Mama ù bòkù Oskara Homolczi.	<extra_id_0> Nels w dramace <extra_id_1>
Padalc – gatënk wieszczórczi, tëli <extra_id_0> z rodzëznë padalcowatich.	<extra_id_0> że bez nogów, <extra_id_1>
Pierszé filmë twòrzoné w XIX-im stolatim bëłë <extra_id_0> zwãkù.	<extra_id_0> czôrno-biôłé ë bez <extra_id_1>
Òb zymk 1727 <extra_id_0> zachòrzëlë.	<extra_id_0> r. òbaj mòcno <extra_id_1>
Absolwent Realizacji <extra_id_0> Radia i Telewizji Sląsczégò Ùniwersytetu w Katowicach.	<extra_id_0> Òbrazu na Wëdzélu <extra_id_1>
We <extra_id_0> są m. jin.	<extra_id_0> współrobòce z nią <extra_id_1>
Zwëczajnô sosna abò chójka (Pinus silvestris <extra_id_0> je wiedno zeloné drzéwiã z rodzëznë sosnowatëch (Pinaceae).	<extra_id_0> L.) – to <extra_id_1>
Kòzłë <extra_id_0> na Kaszëbach w Stôri Rok.	<extra_id_0> - zwëk òbchòdzony <extra_id_1>
Westrzód Kòrejanów nie dżinie mëszl ò <extra_id_0> blëzotë òbù państw a wiele rodzëzn je pòdzélonëch sztëczną greńcą.	<extra_id_0> kùlturowi ë nôrodny <extra_id_1>
Przë ni <extra_id_0> chłopów.	<extra_id_0> bëło colemało dwùch <extra_id_1>
W <extra_id_0> blizë.	<extra_id_0> Rozewiu są dwie <extra_id_1>
Mòżna je wëkòrzëstac do dekòrowané kart òkòlicznoscowëch, ramków na odjmczi, <extra_id_0> òzdobów świątecznych itp.	<extra_id_0> tasziach na dôrenczi, <extra_id_1>
Mòtelnik (Paris L.) – to je szlach <extra_id_0> Melanthiaceae.	<extra_id_0> roscënów z rodzëznë <extra_id_1>
Òb jeséń i <extra_id_0> wszëtczim roscënë, zërenka i kiełczi zbóż.	<extra_id_0> zëmã jedzą przede <extra_id_1>
Pôłniowé pòpùlacje, co zamieszkiwają na wiedno pas letnégò klimatu – wanożné, przëlatëją w strëmiannikù i łżëkwiece, a òdlatiwają òd <extra_id_0> a zdarziwô sã, że jaż do lëstopadnika.	<extra_id_0> zélnika do séwnika, <extra_id_1>
Czëdë je <extra_id_0> zwãcznikòwi sygnalë.	<extra_id_0> dôka mòże pòsélac <extra_id_1>
